datetime,event,peak,count
2026-08-01T06:47:22,bike,112,1
2026-08-01T06:47:23,single,154,2
2026-08-01T06:51:11,single,96,3
2026-08-01T06:54:14,bike,137,4
2026-08-01T06:57:49,single,178,5
2026-08-01T06:59:59,single,109,6
2026-08-01T07:02:25,single,288,7
2026-08-01T07:07:05,bike,126,8
2026-08-01T07:07:30,bike,114,9
2026-08-01T07:08:48,single,107,10
2026-08-01T07:08:49,single,113,11
2026-08-01T07:12:34,bike,107,12
2026-08-01T07:20:18,bike,143,13
2026-08-01T07:26:29,bike,103,14
2026-08-01T07:28:15,bike,122,15
2026-08-01T07:28:15,bike,134,16
2026-08-01T07:29:12,single,93,17
2026-08-01T07:31:10,bike,112,18
2026-08-01T07:34:42,bike,181,19
2026-08-01T07:35:10,bike,140,20
2026-08-01T07:35:14,bike,97,21
2026-08-01T07:35:43,bike,160,22
2026-08-01T07:37:35,bike,358,23
2026-08-01T07:38:27,bike,190,24
2026-08-01T07:39:31,bike,136,25
2026-08-01T07:41:26,bike,82,26
2026-08-01T07:47:13,bike,219,27
2026-08-01T07:48:04,bike,129,28
2026-08-01T07:48:33,bike,181,29
2026-08-01T07:49:55,bike,143,30
2026-08-01T07:50:03,bike,181,31
2026-08-01T07:50:23,bike,225,32
2026-08-01T07:53:28,bike,138,33
2026-08-01T07:53:28,single,124,34
2026-08-01T07:53:52,bike,210,35
2026-08-01T07:53:54,bike,173,36
2026-08-01T07:54:21,bike,170,37
2026-08-01T07:54:22,bike,149,38
2026-08-01T07:56:00,bike,150,39
2026-08-01T07:57:26,bike,122,40
2026-08-01T07:57:30,bike,226,41
2026-08-01T07:57:55,bike,169,42
2026-08-01T07:58:08,bike,110,43
2026-08-01T07:58:09,bike,146,44
2026-08-01T07:58:54,single,189,45
2026-08-01T07:59:40,bike,118,46
2026-08-01T08:02:16,bike,104,47
2026-08-01T08:02:16,bike,104,48
2026-08-01T08:02:17,single,126,49
2026-08-01T08:02:22,bike,142,50
2026-08-01T08:03:51,bike,122,51
2026-08-01T08:04:00,bike,148,52
2026-08-01T08:05:35,bike,168,53
2026-08-01T08:05:46,bike,200,54
2026-08-01T08:06:11,bike,174,55
2026-08-01T08:06:48,bike,247,56
2026-08-01T08:07:32,bike,145,57
2026-08-01T08:09:13,bike,210,58
2026-08-01T08:10:19,bike,190,59
2026-08-01T08:10:50,bike,157,60
2026-08-01T08:10:56,bike,165,61
2026-08-01T08:11:18,bike,173,62
2026-08-01T08:11:18,bike,143,63
2026-08-01T08:11:19,bike,137,64
2026-08-01T08:11:20,bike,140,65
2026-08-01T08:11:53,bike,698,66
2026-08-01T08:12:25,bike,154,67
2026-08-01T08:12:26,bike,151,68
2026-08-01T08:12:38,bike,192,69
2026-08-01T08:13:07,bike,160,70
2026-08-01T08:14:07,bike,145,71
2026-08-01T08:14:18,bike,173,72
2026-08-01T08:15:16,bike,439,73
2026-08-01T08:15:50,bike,192,74
2026-08-01T08:16:00,bike,307,75
2026-08-01T08:16:28,bike,200,76
2026-08-01T08:17:05,bike,204,77
2026-08-01T08:17:12,bike,301,78
2026-08-01T08:18:01,bike,172,79
2026-08-01T08:18:47,bike,130,80
2026-08-01T08:18:48,bike,151,81
2026-08-01T08:20:28,bike,141,82
2026-08-01T08:21:15,bike,418,83
2026-08-01T08:22:47,bike,193,84
2026-08-01T08:22:50,bike,249,85
2026-08-01T08:22:51,bike,218,86
2026-08-01T08:23:01,single,146,87
2026-08-01T08:23:39,bike,135,88
2026-08-01T08:24:52,bike,114,89
2026-08-01T08:25:59,bike,189,90
2026-08-01T08:26:13,bike,163,91
2026-08-01T08:27:30,bike,160,92
2026-08-01T08:27:33,bike,162,93
2026-08-01T08:28:03,bike,298,94
2026-08-01T08:28:05,bike,190,95
2026-08-01T08:28:19,bike,172,96
2026-08-01T08:28:56,bike,216,97
2026-08-01T08:28:57,bike,192,98
2026-08-01T08:31:05,bike,154,99
2026-08-01T08:31:18,single,189,100
2026-08-01T08:31:29,single,231,101
2026-08-01T08:31:39,bike,111,102
2026-08-01T08:31:40,bike,89,103
2026-08-01T08:31:43,bike,120,104
2026-08-01T08:32:17,bike,172,105
2026-08-01T08:32:41,bike,140,106
2026-08-01T08:32:42,bike,146,107
2026-08-01T08:33:15,bike,151,108
2026-08-01T08:34:12,bike,182,109
2026-08-01T08:34:28,bike,231,110
2026-08-01T08:36:12,single,208,111
2026-08-01T08:36:21,bike,257,112
2026-08-01T08:36:37,bike,294,113
2026-08-01T08:36:40,single,138,114
2026-08-01T08:36:43,bike,228,115
2026-08-01T08:37:11,bike,138,116
2026-08-01T08:37:14,bike,146,117
2026-08-01T08:37:53,bike,210,118
2026-08-01T08:38:41,bike,216,119
2026-08-01T08:38:58,bike,194,120
2026-08-01T08:39:54,bike,172,121
2026-08-01T08:40:25,bike,244,122
2026-08-01T08:43:09,single,431,123
2026-08-01T08:43:17,bike,159,124
2026-08-01T08:43:18,bike,142,125
2026-08-01T08:43:25,bike,175,126
2026-08-01T08:43:33,bike,249,127
